id;nome;latitude;longitude;logradouro;numero;complemento;bairro;cidade;cep;uf;contato;email;telefone
381;FULL IMPORTS;-22.8982660;-43.2175219;RUA ESCOBAR;91;;SÃO CRISTOVÃO;RIO DE JANEIRO;20921030;RJ;DOUGLAS;contato@fullimports.com.br;2131903191
382;JOMA AUTOPEÇAS;-18.8996915;-48.2618892;AVENIDA FLORIANO PEIXOTO;3250;;NOSSA SENHORA APARECIDA;UBERLÂNDIA;38400704;MG;WANDERSON;joma32122000@gmail.com;3432122000
383;CRISROLI AUTO CENTER;-21.1977648;-41.9063120;AVENIDA DEPUTADO CARLOS PINTO FILHO;273;;CIDADE NOVA;ITAPERUNA;28300000;RJ;CRISTIANO;crisrolicentroautomotivo@gmail.com;2238241960
384;UP MOTOS;-23.6665035;-46.5219115;PRAÇA DOUTOR ADHEMAR DE BARROS;52;;CASA BRANCA;SANTO ANDRÉ;9020020;SP;DÉBORA;vendasupmotos@gmail.com;1144365155
385;RIVER AUTOPEÇAS;-19.7671130;-47.9428975;AVENIDA CORONEL JOAQUIM DE OLIVEIRA PRATA;574;;BOM RETIRO;UBERABA;38022290;MG;MIGUEL;river@riverautopecas.com.br;3421030800
386;RV AUTOPEÇAS;-22.5290806;-52.1652547;ALAMEDA CORONEL PIRES;974;;CENTRO;TEODORO SAMPAIO;19280000;SP;ROBERTO;tsautopecas@hotmail.com;1832824547
387;HIAGO AUTOPEÇAS;-8.2879412;-35.9676537;RUA DOS GUARARAPES;68;;NOSSA SENHORA DAS DORES;CARUARU;55004000;PE;PAULO;hiagoautopecas@hotmail.com;8131361937
388;HIAGO AUTOPEÇAS;-8.2875680;-35.9680399;RUA DOS GUARARAPES;90;;NOSSA SENHORA DAS DORES;CARUARU;55004000;PE;PAULO;hiagoautopecas@hotmail.com;8137211564
389;NEVES AUTOPEÇAS;-16.6705912;-49.3118945;RUA DOS MISSIONARIOS;1186;;RODOVIÁRIO;GOIÂNIA;74430360;GO;AIRES;nevesdistribuidoradepecas@gmail.com;6232952299
390;YOSHIO AUTOPEÇAS;-23.6752744;-46.4547487;AVENIDA CAPITÃO JOÃO;1140;;MATRIZ;MAUÁ;9360120;SP;RONY;nfedtr.yoshioautopecas@gmail.com;1123129230
391;STOCKCAR;-21.1684748;-43.0176160;RUA TEÓFILO ANTÔNIO DE MELO;639;;JULIO MONTAVANI;TOCANTINS;36512000;MG;VINICIUS;automecanicabr@outlook.com;3235741320
392;MAC AUTOPEÇAS;-22.8818504;-42.3499613;RUA HERMENGARDA;S/N;LOJA 2;HAWAI;ARARUAMA;28970000;RJ;FELIX;macautopecas@yahoo.com;2226746190
393;JANETE AUTOPEÇAS;-16.6458003;-49.4913332;AVENIDA JUCELINO KIBITSCHEK;1125;;VILA PAI ETERNO;TRINDADE;75380000;GO;JANETE;autopecastrindade@bol.com.br;6235051846
394;AUTOPEÇAS GP;-16.7158637;-49.2543069;AVENIDA 4ª RADIAL;273;;PEDRO LUDOVICO;GOIÂNIA;74830130;GO;SERGIO;borgessergio@live.com;6230181818
395;CHECAR;-17.7917348;-50.9426294;RUA JOAQUIM FONSECA;180;;MORADA DO SOL;RIO VERDE;75908730;GO;GARIBALDI;checarregulagemeletronica@hotmail.com;6436221331
396;SERRANA AUTOPEÇAS;-22.7436365;-45.5975664;AVENIDA DOUTOR JANUÁRIO MIRAGLIA;500;;VILA ABERNESSIA;CAMPOS DO JORDÃO;12460000;SP;ANDRÉ;serrana.autopecas@hotmail.com;1236689662
397;CANADELO AUTOPEÇAS;-22.8640004;-42.3313411;AVENIDA GETÚLIO VARGAS;1507;;CENTRO;ARARUAMA;28970000;RJ;EDUARDO;canadeloautopecas@hotmail.com;2226647306
398;AUTO STILO;-22.5484560;-42.9834067;RODOVIA RIO FRIBURGO;400;;PARADA MODELO;GUAPIMIRIM;25940050;RJ;JOSINEI;autostilopecas@gmail.com;2136331151
399;AUTOPEÇAS BONNACAR;-25.5319260;-49.2710161;RUA MARTE;1097;;SÍTIO CERCADO;CURITIBA;81910340;PR;ADRIANO;adriano@bonnacar.com.br;4132896994
400;BRECAUTO AUTOPEÇAS;-18.8948780;-48.2587202;AVENIDA FLORIANO PEIXOTO;3769;;BRASIL;UBERLÂNDIA;38400704;MG;MARCO TULIO;brecautopecas@hotmail.com;3432117418
401;SOGEPEL AUTOPEÇAS;-18.9153082;-48.2870737;AVENIDA VASCONCELOS COSTAS;1145;;MARTINS;UBERLÂNDIA;38400452;MG;FÁBIO;sogepel@hotmail.com;3432362200
402;CASA DO CHEVROLET;-18.8953995;-48.2608829;AVENIDA AFONSO PENA;3635;;BRASIL;UBERLÂNDIA;38400706;MG;DARI;dari@pelegrini.com.br;3432928000
403;YOSHIO AUTOPEÇAS;-23.6324235;-46.5026241;AVENIDA DAS NAÇÕES;591;;PARQUE NOVO ORATÓRIO;SANTO ANDRÉ;9260000;SP;SEIKI;nfedks.yoshioautopecas@gmail.com;1144759065
404;SANTO AUTOPEÇAS;-8.4726859;-35.7322178;RUA DOUTOR JOÃO GALINDO;225;;CENTRO;BONITO;55680000;PE;ALEXSANDRO;santoautopecas@outlook.com;8137224907
405;BRASIL PEÇAS;-23.5407639;-46.5171955;AVENIDA NAPOLEÃO;124;;VILA  NOVA SAVOIA;SÃO PAULO;3532040;SP;RODRIGUES;rodrigues@paulistanadistribuidora.com.br;1127460423
406;RAFAEL AUTOPEÇAS;-19.7504133;-45.2588184;RUA DO ROSÁRIO;1121;;SÃO JOSÉ;BOM DESPACHO;35600000;MG;RAFAEL;autopecasrafael@yahoo.com.br;3735221000
407;ABILHÃO AUTOPEÇAS;-22.9313242;-43.0668532;ESTRADA FRANCISCO DA CRUZ NUNES;35;LJ 02;LARGO DAS BARRADAS;NITERÓI;24310340;RJ;ABILIO;contato@abilhaobaterias.com.br;2135876593
408;AUTOPEÇAS FORMULA 1;-12.0933386;-45.7968495;RUA ITACARÉ;166;;FLORAIS LEA II;LUÍS EDUARDO MAGALHÃES;47850000;BA;RICARDO;fssouzame@gmail.com;7736281338
409;FUSAE AUTOPEÇAS;-23.5945506;-46.4877798;AVENIDA MATEO BEI;1319;;SÃO MATEUS;SÃO PAULO;3949010;SP;CLEITON;compras@fusaeautopecas.com.br;1121478100
410;ROTA BRASIL AUTOPEÇAS;-12.1431663;-44.9835893;AVENIDA ANTÔNIO CARLOS MAGALHÃES;1412;;CENTRO;BARREIRAS;47802147;BA;IGOR;rotabrasilautopecas@gmail.com;7736116619
411;COLUMBIA AUTOPEÇAS;-7.1840919;-48.2195981;AVENIDA CONEGO JOÃO LIMA;644;;CENTRO;ARAGUAÍNA;78823065;TO;CELIOMAR;columbia.autopecas@hotmail.com;6334213530
412;AUTOPEÇAS SALU;-17.7518970;-48.6289770;AVENIDA CEL BENTO DE GODOY;2115;;CENTRO;CALDAS NOVAS;75691718;GO;MIZAEL;salu.rangel@gmail.com;6434531926
413;YOSHIO AUTOPEÇAS;-23.6682615;-46.4251521;AVENIDA BARÃO DE MAUÁ;3989;A;JARDIM ITAPEVA;MAUÁ;9330150;SP;FELIPE;nfedmr.yoshioautopecas@gmail.com;1145422558
414;S.M. MOTO PEÇAS;-24.5009590;-47.8408542;AVENIDA HAGUEMU MATSUZAWA;387;;VILA RIBEIRÓPOLIS;REGISTRO;11900000;SP;SHIRLEY;smmotosregistro@gmail.com;1338222012
415;ANTÔNIO CAMPO GRANDE;-20.2642916;-40.4203433;RODOVIA BR 262;S/N;KM 05;CAMPO GRANDE;CARIACICA;29146341;ES;VAGUITO;aap@aap.com.br;2721236666
416;ANTÔNIO VIANA;-20.3675100;-40.4437160;RODOVIA BR 101 SUL;S/N;KM 10;AREINHA;VIANA;29136552;ES;ROMARIO;aap@aap.com.br;2721235555
417;ANTÔNIO VILA VELHA;-20.3365231;-40.3005611;AVENIDA CARLOS LINDEMBERG;225;;IBES;VILA VELHA;29108330;ES;ADELSIO;aap@aap.com.br;2721228999
418;ANTÔNIO JD LIMOEIRO;-20.2146220;-40.2678461;AVENIDA SÃO JOSE;199;LJ 17;PLANALTO DE CARAPINA;SERRA;29175578;ES;CARLITO;aap@aap.com.br;2733388854
419;ANTÔNIO SÃO MATEUS;-19.7511747;-40.3800543;RODOVIA BR 101;S/N;KM 67;BOA VISTA;SÃO MATEUS;29931200;ES;ALERSO;aap@aap.com.br;2733133333
420;NACIONAL VITÓRIA;-20.3073977;-40.3146274;AVENIDA MARECHAL CAMPOS;389;;DE LOURDES;VITÓRIA;29040091;ES;JARBAS;nacional@napl.com.br;2721220555
421;AUTOPEÇAS IRMÃOS CANI;-19.4935269;-40.6666255;RODOVIA GETHER LOPES FARIA;2975;;CARLOS GERMANO;COLATINA;29705200;ES;FLAVIO;mincani@terra.com.br;2737212488
422;AUTOPEÇAS KAIAPÓ;-22.6657672;-50.4215656;RUA HUMBERTO CAMPOS;65;;VILA XAVIER;ASSIS;19800000;SP;MARCOS;phbautopecas@gmail.com;1833243338
423;J LIMA;-22.8990754;-43.2175666;RUA SOUZA VALENTE;14;;SÃO CRISTOVÃO;RIO DE JANEIRO;20941040;RJ;JOCELMO;jlimaauto@hotmail.com;2186452642
424;ANTÔNIO AUTOPEÇAS;-20.8463269;-41.1219048;RUA BERNARDO HORTA;254;LOJA 1 E 2;GUANDU;CACHOEIRO DE ITAPEMIRIM;29300230;ES;MADEIRA;aap@aap.com.br;2821011900
425;ANTÔNIO AUTOPEÇAS;-20.8449717;-41.1318546;AVENIDA JONES DOS SANTOS NEVES;101;KM 90;MARIA ORTIZ;CACHOEIRO DE ITAPEMIRIM;29300500;ES;PIOLHO;aap@aap.com.br;2821011900
426;ANTÔNIO AUTOPEÇAS;-20.8369629;-41.1581280;RODOVIA CACHOEIRO ALEGRE;S/N;;BNH;CACHOEIRO DE ITAPEMIRIM;29313656;ES;MADEIRA;aap@aap.com.br;2821010700
427;ANTÔNIO AUTOPEÇAS;-20.8455669;-41.1295786;RUA ANTONIO VIEIRA;S/N;;MARIA ORTIZ;CACHOEIRO DE ITAPEMIRIM;29300650;ES;CÉSAR;cesar.atacado@aap.com.br;2821011900
428;ANTÔNIO AUTOPEÇAS;-20.8369629;-41.1581280;RODOVIA CACHOEIRO ALEGRE;S/N;;BNH;CACHOEIRO DE ITAPEMIRIM;29313656;ES;WILLIAN;aap@aap.com.br;2821010700
429;ANTÔNIO AUTOPEÇAS;-20.7913783;-40.8041757;RODOVIA BR 101 KM 374;S/N;;CENTRO;ICONHA;29280000;ES;ROBSON;aap@aap.com.br;2835375500
430;ANTÔNIO AUTOPEÇAS;-20.8447969;-41.1307873;AVENIDA ARISTIDES CAMPOS;12;;SANTO ANTÔNIO;CACHOEIRO DE ITAPEMIRIM;29300700;ES;WILSON;aap@aap.com.br;2821011922
431;ANTÔNIO AUTOPEÇAS;-21.0304290;-40.8175328;AVENIDA RUBENS RANGEL;S/N;;SANTA RITA I;MARATAÍZES;29345000;ES;TONINHO;aap@aap.com.br;2835321492
432;ANTÔNIO AUTOPEÇAS;-20.3261000;-41.1371047;AVENIDA EVANDI AMERICO COMARELA;1125;;CENTRO;VENDA NOVA DO IMIGRANTE;29375000;ES;MAURINHO;aap@aap.com.br;2835462750
433;ANTÔNIO AUTOPEÇAS;-20.6108007;-41.2045480;AVENIDA NOSSA SENHORA DA PENHA;814;LOTE NOSSA S. APARECIDA;CENTRO;CASTELO;29360000;ES;WILKY;aap@aap.com.br;2835426927
434;ANTÔNIO AUTOPEÇAS;-20.3109527;-40.3161232;AVENIDA VITÓRIA;1909;;NAZARETH;VITÓRIA;29041230;ES;ARIZO;aap@aap.com.br;2733236406
435;ANTÔNIO AUTOPEÇAS;-20.2518131;-40.3729187;RODOVIA GOVERNADOR MARIO COVAS BR 101 NORTE;S/N;KM 266;PLANALTO DE CARAPINA;SERRA;29175578;ES;ELTON;aap@aap.com.br;2733388854
436;ANTÔNIO AUTOPEÇAS;-20.3459570;-40.3161210;AVENIDA CARLOS LINDEMBERG;2275;;IBES;VILA VELHA;29108335;ES;FLAVIO;aap@aap.com.br;2721228999
437;RAPOSO AUTOPEÇAS II;-23.5474976;-46.8858347;ESTRADA VELHA DE ITAPEVI;4528;;JARDIM PAULISTA;BARUERI;6444000;SP;VALDIR;valdir@raposoautopecas.com;1130907032
438;COELHOS CAR;-22.8306201;-43.0025423;RUA CAPITÃO JUVENAL FIGUEIREDO;71;;COELHO;SÃO GONÇALO;24742202;RJ;CHARLES;coelhocarautopecas@gmail.com;2124883358
439;NACIONAL AUTOPEÇAS;-20.1871758;-40.2679355;RODOVIA BR 101 NORTE, KM 267;S/N;;CARAPINA;SERRA;29160900;ES;ROGÉRIO;dnapl@napl.com.br;2721211313
440;NACIONAL AUTOPEÇAS;-20.3407278;-40.3962828;RODOVIA BR 262;4836;KM 5;VILA CAPIXABA;CARIACICA;29148022;ES;LUCIANO;luciano@napl.com.br;2721235678
441;NACIONAL AUTOPEÇAS;-20.3374990;-40.2918671;RUA ANTONIO ATAIDE;901;;DIVINO ESPIRITO SANTO;VILA VELHA;29107215;ES;IDALECIO;dnapl20@napl.com.br;2721211313
442;NACIONAL AUTOPEÇAS;-20.3466174;-40.3172304;AVENIDA CARLOS LINDEMBERG;2345;LOJA 2;IBES;VILA VELHA;29108335;ES;IDALECIO;vanildo@napl.com.br;2721211380
443;MOTOCAPICHABA AUTOPEÇAS;-19.5283175;-40.6326649;PRAÇA ALMIRANTE BARROSO;52;;LACÊ;COLATINA;29703055;ES;EDUARDO;compras@motocap.com.br;2721012255
444;RV AUTOPEÇAS;-23.4983230;-46.6404330;AVENIDA IMIRIM;428;;IMIRIM;SÃO PAULO;2465000;SP;RICARDO;ricardo@rvautopecas.com.br;1142104600
445;PASOLA AUTOPEÇAS;-20.2144604;-40.2673571;AVENIDA SÃO JOSE;121;;JARDIM LIMOEIRO;SERRA;29164037;ES;ZICO;pasola@pasola.com.br;2740099300
446;SOARES AUTOPEÇAS;-9.5553195;-35.7569196;AVENIDA MENINO MARCELO;3003;;CIDADE UNIVERSITÁRIA;MACEIÓ;57060972;AL;FABIO;soaresaraujo@hotmail.com;8233342733
447;VANDO AUTOPEÇAS;-7.8701950;-34.9066770;AVENIDA BARÃO DE VERA CRUZ;504;ANEXO D;CRUZ DE REBOUÇAS;IGARASSU;53625015;PE;EVANDRO;vandoautopecas@hotmail.com;8135433005
448;MARTINS PÁDUA;-21.5399838;-42.1802674;RUA CORONEL OLIVIER;204;;CENTRO;SANTO ANTÔNIO DE PÁDUA;28470000;RJ;ADINIEL;martinpaduapecas@gmail.com;2238510074
449;SETE LAGOAS;-22.7215173;-43.5572815;RUA VEREADOR MARINHO HEMETÉRIO OLIVEIRA;560;;CENTRO;QUEIMADOS;26320010;RJ;MÁRCIO;autopecassetelagoas@hotmail.com;2126652829
450;FORTBRAZ AUTOPEÇAS;-16.6702526;-49.3130866;RUA DOS MISSIONARIOS;1312;;RODOVIÁRIO;GOIÂNIA;74430360;GO;MARCUS;fortbraz.financeiro@gmail.com;6232714566
451;MALACHIAS PEÇAS AUTOMOTIVAS;-21.9938189;-47.4267560;RUA SIQUEIRA CAMPOS;1123;;CENTRO;PIRASSUNUNGA;13630085;SP;LEVINO;malachias.dani.adm@gmail.com;1935658288
452;PAUMART PEÇAS;-22.8986650;-43.2173410;RUA ESCOBAR;75;A;SÃO CRISTOVÃO;RIO DE JANEIRO;20940190;RJ;CARLOS;paumart@gmail.com;2125895521
453;VP DISTRIBUIDORA DE PEÇAS;-15.7954562;-48.0309518;RUA 12 CHÁCARA 143;S/N;;VICENTE PIRES;BRASÍLIA;72007640;DF;RENATO;renato.redepecas@gmail.com;6135475747
454;FERRARI AUTOPEÇAS E MECANICA;-18.7090838;-40.3978516;AVENIDA SÃO MATEUS;16/32;;BEIRA RIO;NOVA VENÉCIA;29830000;ES;GUILHERME;mecanicaferrarinv@hotmail.com;2737521537
455;ECONOMICAR AUTOPEÇAS;-22.0310773;-47.8847213;RUA NICODEMO SENAPESCHI;152;;VILA IRENE;SÃO CARLOS;13570730;SP;MARCIO;economicarautopecas@terra.com.br;1633689153
456;VIX PEÇAS;-20.2890561;-40.3047998;RUA DONA MARIA ROSA;348;LJS 1 E 2;SANTA LUIZA;VITÓRIA;29045370;ES;IVAN;vixpecas@yahoo.com;2733153290
457;MROS MOTO PEÇAS;-9.7578634;-36.6521075;RUA MARECHAL DEODORO DA FONSECA;394;QUADRA 70;OURO PRETO;ARAPIRACA;57301185;AL;MIKAEL;mros_motopecas@hotmail.com;8287295335
458;MROS MOTO PEÇAS;-9.7630140;-36.6561433;RUA DOM JONAS BATINGA;464;LOTE 81;OURO PRETO;ARAPIRACA;57301130;AL;GOMES;mros_motopecas@hotmail.com;8281323358
459;VIEIRA AUTOPEÇAS;-22.8787831;-42.3822771;RODOVIA AMARAL PEIXOTO 71745;71745;KM 71;BACAXÁ;SAQUAREMA;28990000;RJ;GABRIEL;autopecasvieira@gmail.com;2226533122
460;AJAUTOPEÇAS;-22.7414425;-43.4081294;AVENIDA RETIRO DA IMPRENSA;2026;;HELIOPOLIS;BELFORD ROXO;26120252;RJ;GERALDO;autopecasajauto@gmail.com;2141258255
461;MALACHIAS PEÇAS AUTOMOTIVAS;-21.9159048;-47.6202675;RUA CORONEL ARTHUR WHITAKER;1316;;JARDIM BELEM;DESCALVADO;13690000;SP;LEVINO;malachias.dani.adm@gmail.com;1935831563
462;GLOBAUTO;-22.8858262;-43.1212347;RUA BARÃO DO AMAZONAS;212;LOJA;CENTRO;NITERÓI;24031110;RJ;GISELE;compras@globauto.com.br;2127174911
463;TITAN MOTOS;-22.7500710;-48.5717566;PRAÇA CORONEL RAPHAEL DE MOURA CAMPOS;92;;CENTRO;BOTUCATU;18600430;SP;WILLIAM;titan_motosloja2@hotmail.com;1438156880
464;ZAP AUTOPEÇAS;-20.3475400;-40.3186214;AVENIDA CARLOS LINDEMBERG;2339;;NOSSA SENHA DA PENHA;VILA VELHA;29110175;ES;LUIZ;financeiro@zapautopecas.com.br;2730648650
465;BP AUTOPEÇAS;-20.6613065;-40.5018427;RODOVIA JONES DOS SANTOS NEVES;345;;MUQUIÇABA;GUARAPARI;29215002;ES;FABIO;b.p.autopecas@veloxmail.com.br;2732611278
466;MIRACAR AUTOPEÇAS;-22.8318685;-43.0035142;RUA CAPITÃO JUVENAL FIGUEIREDO;219;;COELHO;SÃO GONÇALO;24742202;RJ;ULISSES;contato@miracarauto.com.br;2127011884
467;EDGAR AUTOPEÇAS;-20.4638806;-41.4135345;PRAÇA DIVINO ESPIRITO SANTO;46;;CENTRO;MUNIZ FREIRE;29390000;ES;CLEVINHO;eap.fabiano@hotmail.com;2835441226
468;EDGAR AUTOPEÇAS;-20.4638806;-41.4135345;RUA ALBERTO ODORICO DA SILVA;S/N;LJ 17;PIAÇU;MUNIZ FREIRE;29386000;ES;FABIANO;eap.fabiano@hotmail.com;2835445207
469;EDGAR AUTOPEÇAS;-20.7619998;-41.5211300;RODOVIA BR 482;S/N;KM 1;CENTRO;ALEGRE;29500000;ES;ACACIO;eap.acassio@gmail.com;2835521357
470;ALONSO AUTOPEÇAS;-20.4638806;-41.4135345;RUA ORLANDO BERNADINHO DE SOUZA;319;;CENTRO;MUNIZ FREIRE;29380000;ES;CLEVINHO;eap.acassio@gmail.com;2835441226
471;ZAMPERLINI AUTOPEÇAS;-20.2146444;-40.2686649;RUA JOSE DE ALENCAR;126;;PLANALTO DE CARAPINA;SERRA;29162709;ES;ROBSON;carlosrogerio@zamperliniltda.com;2721048999
472;SMPA AUTOPEÇAS;-19.9961271;-40.7442141;RODOVIA GALERANO AFONSO VENTURINI;2880;;SÃO LUIZ;SANTA MARIA DE JETIBÁ;29645000;ES;ZICO;smapsm@uol.com.br;2732632517
473;RETRO AUTOPEÇAS;-15.8039339;-48.0890362;SETOR QNH AREA ESP. 36 GALPAO B SETOR H NORTE;S/N;SETOR H NORTE;TAGUATÍNGA;BRASÍLIA;72130700;DF;MARCOS;retroautopecas@gmail.com;6193926161
474;BRAZLÂNDIA AUTOPEÇAS;-15.7081548;-47.9146971;QUADRA QUADRA 45 CONJ C LOTE 15;S/N;VILA SÃO JOSÉ;BRAZLÂNDIA;BRASÍLIA;72745003;DF;LUCIANO;lucianodorneles65@gmail.com;6130115446
475;KM AUTOPEÇAS;-22.8102404;-42.3459333;RODOVIA RJ 124;S/N;;TREVO DE SÃO VICENTE;ARARUAMA;28970000;RJ;VINICIUS;km.pecas2020@gmail.com;2226734272
476;A. A. BANGU;-22.8801111;-43.4730879;RUA DA FEIRA;666;;BANGU;RIO DE JANEIRO;21820030;RJ;MARCOS;aabangu@aabangu.com.br;2133312012
477;J F R MARCOJE AUTOPEÇAS;-22.8304930;-43.0022836;RUA CAPITÃO JUVENAL FIGUEIREDO;47;;COELHO;SÃO GONÇALO;24742202;RJ;MARCOJE;jfrmarcoje@gmail.com;2126014689
478;GARAGEM DAS VANS;-19.8723196;-43.9073008;RUA JOSÉ MOREIRA BARBOSA;290;;SÃO MARCOS;BELO HORIZONTE;31920390;MG;IGOR;garagemdasvans@gmail.com;3125204913
479;HJL DIST. DE PEÇAS;-15.8051657;-47.8903834;SETOR SOF CONJUNTO D LOJA 70;S/N;SETOR DE OFICINAS;PLANALTINA;BRASÍLIA;73340040;DF;JOAO LUCAS;vendas@hjldistribuidora.com.br;6133883853
480;ÂNCORA AUTOPEÇAS;-15.8059362;-48.0844912;SETOR SHN AREA ESPECIAL 32 LJS 01 A 04;S/N;SETOR H NORTE;TAGUATÍNGA;BRASÍLIA;72130711;DF;JAIME;compras@ancoraautopecas.com.br;6130483040
481;GRUPO S&A PEÇAS AUTOMOTIVAS;-7.9920193;-34.8422368;AVENIDA BRASIL;135;;RIO DOCE;OLINDA;54150470;PE;ESDON;vendas@gruposeapecas.com;8130142296
482;SUPER MOTOS;-23.9806380;-46.2077548;RUA RAIMUNDO MANOEL DELGADO;71;;PARQUE ENSEADA;GUARUJÁ;11443660;SP;WILSON;supermotoss@hotmail.com;1333513774
483;DR AUTOPEÇAS;-28.3885247;-53.9065403;AVENIDA CORONEL DICO;469;;CENTRO;IJUÍ;98700000;RS;CRISTIANO;compras@drautopecas.com;5533316222
484;DR AUTOPEÇAS;-28.3021062;-54.2658555;AVENIDA GETÚLIO VARGAS;1610;;CENTRO;SANTO ÂNGELO;98801544;RS;MARCIO;gerenciasantoangelo@drautopecas.com;5533130700
485;UNIDOS AUTOPEÇAS;-3.1312724;-59.9925046;RUA ADALBERTO VALE;256;;CRESPO;MANAUS;69073162;AM;JOSIAS DINIZ;comercialmpaz@gmail.com;9232377379
486;BRASIL PEÇAS;-18.9363350;-48.3106608;AVENIDA INDAIA;645;;PLANALTO;UBERLÂNDIA;38413111;MG;ARNALDO;brasilpecasdistribuidora@gmail.com;3432384545
487;MARCELO AUTOPEÇAS;-19.8847667;-44.0155407;RUA LISBOA;137;;PARQUE RECREIO;CONTAGEM;32110300;MG;MARCELO;maracahipe.alexandra@gmail.com;3137863504
488;TUPEÇAS LTDA;-22.8987887;-43.2173994;RUA ESCOBAR;67;;SÃO CRISTOVÃO;RIO DE JANEIRO;20940190;RJ;THIAGO;tupecasltda@hotmail.com;2125897258
489;PECITA PEÇAS;-22.8720875;-43.7751625;RUA DOUTOR CURVELO CAVALCANTE;26;;CENTRO;ITAGUAÍ;23810200;RJ;ERNESTO ROCHA;pecitaautopecas@gmail.com;2126883245
490;ROCHA AUTOPEÇAS;-21.7740957;-48.1589600;AVENIDA RAUL THOBIAS MONTEIRO;585;;JARDIM PAULISTANO;ARARAQUARA;14810238;SP;RODRIGO;vendas@rochaautopecas.com.br;(16) 97405-6041
491;PC AUTOPEÇAS;-19.8868477;-44.0167061;AVENIDA ABÍLIO MACHADO;4410;;RESSACA;CONTAGEM;32110010;MG;PABLO;financeiro1@1100autopecas.com.br;3135828555
492;FAÉ AUTOPEÇAS;-20.3196711;-40.3385246;AVENIDA VITORIA;1975;;JUCUTUQUARA;VITÓRIA;29040333;ES;NANCIF;fap@faepecas.com.br;2732327050
493;MOTO GAGO;-22.1266908;-51.3858339;AVENIDA MANOEL GOULART;106;;VILA NOVA;PRESIDENTE PRUDENTE;19010270;SP;EVANDRO;motogagoprudente@hotmail.com;1832215266
494;ALVORADA AUTOPEÇAS;-21.2121536;-41.8730021;RUA CORONEL JOSÉ BASTOS;733;;CASTELO BRANCO;ITAPERUNA;28300000;RJ;LINDENBERGUE;lagealeixo@hotmail.com;2238241131
495;ANTÔNIO LINHARES;-19.3745133;-40.0658970;AVENIDA SAMUEL BATISTA CRUZ;S/N;;CENTRO;LINHARES;29902530;ES;ELIAS;aap@aap.com.br;2733716102
496;HR AUTOPEÇAS;-7.2167713;-35.8905399;RUA LUIS SOARES;102;;CENTRO;CAMPINA GRANDE;58400016;PB;HERBERT;hr02importados@gmail.com;8330992954
497;UNIVERSOKAR;-3.7865805;-38.5665131;AVENIDA GODOFREDO MACIEL;1181;;MARAPONGA;FORTALEZA;60710001;CE;CARLOS OU HALLAN;universokar@hotmail.com;8530859386
498;ORIGINAL AUTOPEÇAS;-22.5667464;-43.6879485;ESTRADA RJ 127;18818;LOJA 02;BARREIRA;PARACAMBI;26600000;RJ;CRISTIAN;originalpecas@gmail.com;2126671944
499;LIBERAL AUTOPEÇAS;-7.1806859;-48.2208871;AVENIDA CONEGO JOÃO LIMA;243;;ENTRONCAMENTO;ARAGUAÍNA;78050010;TO;CRISTIANO;liberalautopecas@bol.com.br;6334214870
500;DISPPAR AUTOPEÇAS;-15.7975154;-47.8918874;QUADRA QUADRA 34 CONJUNTO C LOTE 25;S/N;SETOR DE OFICINAS;PARANOÁ;BRASÍLIA;71570340;DF;LUCIMAR;dispparpecas@gmail.com;6133692244
501;AUTOPEÇAS 2 IRMÃOS;-20.4410897;-54.6011649;AVENIDA CORONEL ANTONINO;633;;CORONEL ANTONINO;CAMPO GRANDE;79022000;MS;MATEUS;mateus2irmaos@hothmail.com;6733516393
502;AUTOPEÇAS PALMA;-10.1894132;-48.3274913;AVENIDA 104 SUL RUA SE 07;S/N;LT 21;CENTRO;PALMAS;77020016;TO;LUIZ;vendas@autopecaspalma.com.br;6332297000
503;CASTRILLON AUTOPEÇAS;-15.6514510;-55.9942640;AVENIDA AYRTON SENNA DA SILVA;733;;PASCOAL RAMOS;CUIABÁ;78098110;MT;KATIUSCI;gerencia.cba@castrillon.com.br;6533142205
504;CASTRILLON AUTOPEÇAS;-15.6274545;-58.1852293;AVENIDA SÂO PAULO;573;;CENTRO;SÃO JOSÉ DOS QUATRO MARCOS;78285000;MT;JAIRO;gerencia.qma@castrillon.com.br;6532514350
505;CASTRILLON AUTOPEÇAS;-15.6923306;-58.0860639;AVENIDA TANCREDO NEVES;3899;;CENTRO;MIRASSOL D´OESTE;78280000;MT;JESSÉ;gerencia.mdo@castrillon.com.br;6532417200
506;CASTRILLON AUTOPEÇAS;-15.2267419;-59.3251696;AVENIDA TANCREDO NEVES;1887;;JARDIM MARÍLIA;PONTES E LACERDA;78250000;MT;JEFERSON;gerencia.pl@castrillon.com.br;6532668500
507;CASTRILLON AUTOPEÇAS;-15.6460436;-56.1544017;AVENIDA JÚLIO CAMPOS;3863;;JARDIM GLÓRIA;VÁRZEA GRANDE;78140400;MT;ANTÔNIO;gerencia.vge@castrillon.com.br;6536881500
508;CASTRILLON AUTOPEÇAS;-16.4708766;-54.6524840;AVENIDA PRESIDENTE MÉDICE;3225;;CIDADE SALMEM;RONDONÓPOLIS;78705000;MT;MARCOS;gerencia.roo@castrillon.com.br;6534391500
